split,seed,score_source,allocation,decision,budget,system_budget_per_hour,mechanical_budget_per_hour,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,channel_union,agirlikli_sistem,threshold,critical,1.67,0.33,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,critical,1.67,0.33,258,2,0.007751937984496124,8,10.928946456944445,0.732001024208208,20.524343499999993,27.02733099999999
split_00,0,channel_union,agirlikli_sistem,cusum,critical,1.67,0.33,258,39,0.1511627906976744,90,10.928946456944445,8.23501152234234,21.98631353846153,58.916042000000004
split_00,0,channel_union,agirlikli_sistem,threshold,advisory,10.0,2.0,258,5,0.01937984496124031,48,10.928946456944445,4.3920061452492485,21.912615600000002,33.531859999999995
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,258,3,0.011627906976744186,25,10.928946456944445,2.28750320065065,14.35645733333333,27.02733099999999
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,258,70,0.2713178294573643,227,10.928946456944445,20.770529061907904,13.447884257142855,39.08921699999996
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,258,2,0.007751937984496124,8,10.928946456944445,0.732001024208208,20.524343499999993,27.02733099999999
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,258,35,0.13565891472868216,95,10.928946456944445,8.69251216247247,22.066478742857136,51.084812
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,258,5,0.01937984496124031,55,10.928946456944445,5.032507041431431,21.912615600000002,33.531859999999995
split_00,0,channel_union,dengeli,k_of_n,advisory,8.0,4.0,258,31,0.12015503875968993,101,10.928946456944445,9.241512930628627,7.489795774193546,37.999277000000035
split_00,0,channel_union,dengeli,cusum,advisory,8.0,4.0,258,75,0.29069767441860467,262,10.928946456944445,23.973033542818815,12.379052106666665,41.066805999999985
split_00,0,channel_union,esit,threshold,critical,1.0,1.0,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,channel_union,esit,k_of_n,critical,1.0,1.0,258,2,0.007751937984496124,8,10.928946456944445,0.732001024208208,20.524343499999993,27.02733099999999
split_00,0,channel_union,esit,cusum,critical,1.0,1.0,258,43,0.16666666666666666,78,10.928946456944445,7.137009986030028,23.418345279069765,77.12875600000001
split_00,0,channel_union,esit,threshold,advisory,6.0,6.0,258,5,0.01937984496124031,65,10.928946456944445,5.94750832169169,21.912615600000002,33.531859999999995
split_00,0,channel_union,esit,k_of_n,advisory,6.0,6.0,258,31,0.12015503875968993,167,10.928946456944445,15.280521380346343,5.721577516129033,29.95837999999999
split_00,0,channel_union,esit,cusum,advisory,6.0,6.0,258,56,0.21705426356589147,251,10.928946456944445,22.966532134532528,16.810701821428573,62.099672999999996
