feature_a,feature_b,spearman_rho
gps_speed_calc_mps,log_gps_speed,1.0
attitude_stale_count,attitude_stale_s,0.9999999994218901
hdop_cusum_pos,noise_per_ms_cusum_pos,0.9999321433206335
raw_gps_eph,raw_gps_epv,0.9999109751078219
raw_gps_epv,vdop,0.9992063767081294
raw_gps_eph,hdop,0.999123120189778
hdop,vdop,0.9990650718711689
raw_gps_eph,vdop,0.9989876273637777
raw_gps_epv,hdop,0.9989352495732556
hdop,noise_per_ms,0.9989072526767715
raw_gps_eph,noise_per_ms,0.9987367275996235
raw_gps_epv,noise_per_ms,0.998671472118588
vdop,noise_per_ms,0.9985446686620336
hdop,jamming_indicator,0.9984184405357878
jamming_indicator,noise_per_ms,0.9983681167065562
raw_gps_eph,jamming_indicator,0.9983594360302561
hdop,hdop_5s_max,0.9983325193477536
raw_gps_epv,jamming_indicator,0.9983237086923821
vdop,jamming_indicator,0.9982954687946238
jamming_indicator,jamming_1s_mean,0.9980571423356039
noise_per_ms,noise_5s_mean,0.998054345629842
attitude_missing,attitude_stale_count,0.9979423980485139
attitude_missing,attitude_stale_s,0.9979423974715933
raw_gps_eph,hdop_5s_max,0.9968177698856123
vdop,hdop_5s_max,0.9965011057570158
raw_gps_epv,hdop_5s_max,0.9964288967648086
noise_per_ms,hdop_5s_max,0.9962742194377916
hdop,noise_5s_mean,0.9956733477172182
jamming_indicator,jamming_5s_max,0.9956459226251236
gps_step_m,gps_speed_calc_mps,0.9954314849584437
gps_step_m,log_gps_speed,0.9954314849584437
raw_gps_eph,noise_5s_mean,0.9952305686364367
jamming_indicator,hdop_5s_max,0.9951513653344141
raw_gps_eph,hdop_cusum_pos,0.9951272862066223
raw_gps_epv,hdop_cusum_pos,0.9950573493391047
raw_gps_epv,noise_5s_mean,0.9950539877220433
raw_gps_eph,noise_per_ms_cusum_pos,0.9949137490211274
raw_gps_epv,noise_per_ms_cusum_pos,0.994867748211015
jamming_indicator,hdop_cusum_pos,0.9947306608428447
jamming_indicator,noise_per_ms_cusum_pos,0.9946926492947115
noise_per_ms,jamming_1s_mean,0.9946656901297399
hdop,jamming_1s_mean,0.9946446255784334
raw_gps_eph,jamming_1s_mean,0.9946049984395148
vdop,noise_5s_mean,0.9946034616133445
vdop,jamming_5s_max,0.9945503078298529
raw_gps_epv,jamming_1s_mean,0.9945137485976149
raw_gps_eph,jamming_5s_max,0.9944946979681651
raw_gps_epv,jamming_5s_max,0.9944466739112976
hdop,jamming_5s_max,0.9944375025137263
vdop,jamming_1s_mean,0.9944244748424479
noise_per_ms,jamming_5s_max,0.9942712957456407
jamming_indicator,noise_5s_mean,0.9942371202448292
hdop,hdop_cusum_pos,0.9940068478717732
vdop,hdop_cusum_pos,0.9938463373458756
noise_per_ms,hdop_cusum_pos,0.9937009643519019
hdop,noise_per_ms_cusum_pos,0.9936215552044375
noise_per_ms,noise_per_ms_cusum_pos,0.9936149351891003
vdop,noise_per_ms_cusum_pos,0.9936067144419543
noise_5s_mean,hdop_5s_max,0.9930840894001012
jamming_1s_mean,jamming_5s_max,0.9929293867791523
jamming_5s_max,hdop_cusum_pos,0.9907154647174892
jamming_5s_max,noise_per_ms_cusum_pos,0.9906528048063299
jamming_1s_mean,noise_per_ms_cusum_pos,0.9903310464590424
jamming_1s_mean,hdop_cusum_pos,0.9902560390701962
jamming_5s_max,hdop_5s_max,0.9898552495440067
jamming_1s_mean,hdop_5s_max,0.9895599516869144
hdop_5s_max,hdop_cusum_pos,0.9893173922590652
jamming_1s_mean,noise_5s_mean,0.9891533539815419
jamming_5s_max,noise_5s_mean,0.9885656806508994
hdop_5s_max,noise_per_ms_cusum_pos,0.9884497209036491
noise_5s_mean,hdop_cusum_pos,0.9869275142558533
noise_5s_mean,noise_per_ms_cusum_pos,0.9868391082856532
log_gps_speed,vel_m_s,0.9810605265992587
gps_speed_calc_mps,vel_m_s,0.9810605265992587
gps_step_m,vel_m_s,0.9770935681063277
satellites_used,jamming_indicator,0.9727186622549175
gps_step_5s_max,gps_step_5s_rms,0.972541918697411
raw_gps_epv,satellites_used,0.9710316251813648
satellites_used,noise_per_ms,0.971028000823824
raw_gps_eph,satellites_used,0.9704685537959832
vdop,satellites_used,0.9702853191758474
hdop,satellites_used,0.9693652882786931
satellites_used,jamming_1s_mean,0.9690281867089904
satellites_used,noise_per_ms_cusum_pos,0.9686799446254867
satellites_used,hdop_cusum_pos,0.9679928171688925
satellites_used,jamming_5s_max,0.9665380672297581
satellites_used,sats_5s_min,0.965097749076695
satellites_used,noise_5s_mean,0.963608593688365
satellites_used,hdop_5s_max,0.9611657015239775
gps_speed_calc_mps,gps_step_5s_rms,0.9599204197349779
log_gps_speed,gps_step_5s_rms,0.9599204197349779
gps_step_m,gps_step_5s_rms,0.9591045064987079
vel_m_s,gps_step_5s_rms,0.9572595535640074
gps_speed_calc_mps,gps_step_5s_max,0.953271425155456
log_gps_speed,gps_step_5s_max,0.953271425155456
gps_step_m,gps_step_5s_max,0.9521475618813916
vel_m_s,gps_step_5s_max,0.9496322997104589
jamming_indicator,sats_5s_min,0.9348215737079107
vdop,sats_5s_min,0.9315662498611732
noise_per_ms,sats_5s_min,0.9315206378413147
raw_gps_epv,sats_5s_min,0.9314112050930633
raw_gps_eph,sats_5s_min,0.9305028542518481
hdop,sats_5s_min,0.9297492614051764
