severity,injection_type,events,detected,event_recall,median_delay_s
easy,altitude_bias,29,29,1.0,0.0
easy,coherent_route_drift,33,30,0.9090909090909091,3.3299999237060547
easy,freeze,30,29,0.9666666666666667,6.819999933242798
easy,position_drift,37,36,0.972972972972973,2.209999918937683
easy,position_jump,28,28,1.0,0.0
easy,speed_bias,26,26,1.0,0.0
easy,track_bias,35,35,1.0,0.0
easy,vertical_rate_bias,32,31,0.96875,0.0
medium,altitude_bias,29,29,1.0,0.0
medium,coherent_route_drift,33,28,0.8484848484848485,3.4049999713897705
medium,freeze,30,30,1.0,3.71999990940094
medium,position_drift,37,31,0.8378378378378378,2.430000066757202
medium,position_jump,28,27,0.9642857142857143,0.0
medium,speed_bias,26,26,1.0,0.0
medium,track_bias,35,35,1.0,0.0
medium,vertical_rate_bias,32,30,0.9375,0.0
