split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae_recon,threshold,critical,393,78,0.1984732824427481,53,34.15531734333333,1.5517349602475559,7.197525256410259,61.07983399999999
split_00,0,dense_ae_recon,k_of_n,critical,393,51,0.1297709923664122,74,34.15531734333333,2.1665733407230023,9.03982309803922,63.105069
split_00,0,dense_ae_recon,cusum,critical,393,12,0.030534351145038167,27,34.15531734333333,0.7905064891827172,48.40552991666667,98.122268
split_00,0,dense_ae_recon,threshold,advisory,393,127,0.3231552162849873,1042,34.15531734333333,30.507694878829305,4.89512551968504,33.97825399999999
split_00,0,dense_ae_recon,k_of_n,advisory,393,110,0.27989821882951654,959,34.15531734333333,28.077619375045398,6.296781999999997,52.07152400000001
split_00,0,dense_ae_recon,cusum,advisory,393,76,0.19338422391857507,306,34.15531734333333,8.959073544070794,17.54817935526315,64.997612
split_00,0,dense_ae_ml14_fusion,threshold,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,dense_ae_ml14_fusion,cusum,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,dense_ae_ml14_fusion,cusum,advisory,393,2,0.005089058524173028,110,34.15531734333333,3.2205819929666255,84.99534299999999,125.030001
split_00,0,dense_ae_itki_fusion,threshold,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,dense_ae_itki_fusion,cusum,critical,393,5,0.01272264631043257,36,34.15531734333333,1.054008652243623,31.608472000000017,63.089397999999996
split_00,0,dense_ae_itki_fusion,threshold,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,dense_ae_itki_fusion,cusum,advisory,393,74,0.18829516539440203,977,34.15531734333333,28.60462370116721,16.229765391891895,85.14009300000004
