candidate,rotation,policy,event_recall,all_nonfault_fa_per_hour,wind_fa_per_hour,real_motor_recall,real_sensor_recall,real_macro_recall,real_normal_fa_per_hour,real_normal_alarm_flight_rate
R1,0,critical,0.5396825396825397,2.8672547293534305,33.85505721425753,0.2448979591836734,0.2341772151898734,0.2395375871867734,15.98224195338513,0.3
R1,0,advisory,0.648424543946932,11.727718592242605,42.141260028935946,0.3418367346938775,0.3987341772151899,0.3702854559545337,59.93340732519423,0.85
R1,1,critical,0.4233593935086472,1.897233201581028,7.688884933701166,0.1020408163265306,0.1645569620253164,0.1332988891759235,0.0,0.0
R1,1,advisory,0.4086709310589907,12.655407833273443,12.814808222835277,0.1530612244897959,0.189873417721519,0.1714673211056574,0.0,0.0
R1,2,critical,0.5079365079365079,0.9322886240311244,26.066718386346004,0.2806122448979591,0.0,0.1403061224489795,0.0,0.0
R1,2,advisory,0.6140724946695096,2.493330041013472,33.0488750969744,0.3622448979591837,0.0759493670886076,0.2190971325238956,0.0,0.0
R1,3,critical,0.7882018479033405,8.06507128494049,35.412205567451814,0.3418367346938775,0.379746835443038,0.3607917850684577,37.95782463928968,0.6
R1,3,advisory,0.8031272210376688,10.151990000181156,36.13490364025696,0.3061224489795918,0.3987341772151899,0.3524283130973908,47.94672586015538,0.9
R1,4,critical,0.7183131959251362,2.6609473263295653,37.64486479286,0.2244897959183673,0.3227848101265823,0.2736373030224748,6.474820143884893,0.0909090909090909
R1,4,advisory,0.775408670931059,4.536697080955324,40.28240309044892,0.2448979591836734,0.3670886075949367,0.3059932833893051,6.474820143884893,0.0909090909090909
