validation_rotation,run,policy,fault_flights,detected_fault_flights,event_recall,flight_tp,flight_fn,flight_fp,flight_tn,normal_validation_fa_per_hour,all_nonfault_fa_per_hour,environment_fa_per_hour
0,run_20260721_130723,critical,69,43,0.6231884057971014,43,26,2,90,1.060695344725987,1.7382906808305167,27.06766917293233
0,run_20260721_130723,advisory,69,54,0.782608695652174,54,15,20,72,10.606953447259867,10.864316755190728,30.676691729323306
1,run_20260721_130805,critical,69,47,0.6811594202898551,47,22,2,87,0.9984745527666066,0.8269208682669115,30.676691729323306
1,run_20260721_130805,advisory,69,50,0.7246376811594203,50,19,22,67,10.983220080432671,11.163431721603304,30.676691729323306
2,run_20260721_130846,critical,69,38,0.5507246376811594,38,31,3,86,1.701591302977785,1.3770240979217134,25.26315789473684
2,run_20260721_130846,advisory,69,45,0.6521739130434783,45,24,19,70,10.776744918859304,8.721152620170852,23.45864661654135
3,run_20260721_130928,critical,69,32,0.463768115942029,32,37,1,95,0.6297008920762637,0.9981976985997504,23.45864661654135
3,run_20260721_130928,advisory,69,44,0.6376811594202898,44,25,17,79,10.704915165296482,10.980174684597252,25.26315789473684
4,run_20260721_131011,critical,69,43,0.6231884057971014,43,26,1,88,0.671892497200448,1.0504814706740588,25.26315789473684
4,run_20260721_131011,advisory,69,54,0.782608695652174,54,15,16,73,10.750279955207168,9.45433323606653,28.872180451127814
