epoch,train_loss,val_loss
1,9.730540261549109,4046.663330078125
2,7.878492677912993,4040.897705078125
3,6.990530732799979,4036.523681640625
4,6.230082149014754,4033.105224609375
5,5.754271544077817,4030.08154296875
6,5.410284837379175,4028.585205078125
7,5.1555374036816985,4026.48193359375
8,4.979796939912965,4025.900146484375
9,4.917603241170154,4024.5166015625
10,4.766602112966425,4023.804931640625
11,4.726707078954753,4027.294921875
12,4.706642350729774,4027.77392578125
13,4.637900206096032,4022.65869140625
14,4.602166382705464,4022.823486328125
15,4.573279951425159,4022.351318359375
16,4.5609970268081215,4022.050048828125
17,4.5858538036837295,4022.455810546875
18,4.62600455652265,4022.574462890625
19,4.615792167537353,4020.69091796875
20,4.600412620341077,4020.238037109375
21,4.583714347551851,4020.051025390625
22,4.533134461325758,4020.380859375
23,4.482443788910613,4020.138671875
24,4.481337336932912,4020.358642578125
25,4.484446690363042,4020.199951171875
26,4.439228830092094,4020.458984375
